DATE_FROM,DATE_TO,PRODUCT_TYPE,TENDER_NUMBER,PRODUCTNAME,NETHERLANDS_SETTLEMENTCAPACITY_PRICE_[EUR/MW]
2024-01-01,2024-01-01,FCR,2,NEGPOS_20_24,-
2024-01-01,2024-01-01,FCR,2,NEGPOS_12_16,-
2024-01-01,2024-01-01,FCR,2,NEGPOS_08_12,-
2024-01-01,2024-01-01,FCR,2,NEGPOS_04_08,-
2024-01-01,2024-01-01,FCR,2,NEGPOS_00_04,-
2024-01-01,2024-01-01,FCR,2,NEGPOS_16_20,-
2024-01-02,2024-01-02,FCR,1,NEGPOS_08_12,67.03
2024-01-02,2024-01-02,FCR,1,NEGPOS_12_16,59.21
2024-01-02,2024-01-02,FCR,1,NEGPOS_20_24,57.04
2024-01-02,2024-01-02,FCR,1,NEGPOS_04_08,98
2024-01-02,2024-01-02,FCR,1,NEGPOS_00_04,94
2024-01-02,2024-01-02,FCR,1,NEGPOS_16_20,60
2024-01-03,2024-01-03,FCR,1,NEGPOS_16_20,67.4
2024-01-03,2024-01-03,FCR,1,NEGPOS_20_24,55.6
2024-01-03,2024-01-03,FCR,1,NEGPOS_12_16,60
2024-01-03,2024-01-03,FCR,1,NEGPOS_08_12,56.4
2024-01-03,2024-01-03,FCR,1,NEGPOS_00_04,94.4
2024-01-03,2024-01-03,FCR,1,NEGPOS_04_08,87.7
2024-01-04,2024-01-04,FCR,1,NEGPOS_16_20,56
2024-01-04,2024-01-04,FCR,1,NEGPOS_20_24,49.6
2024-01-04,2024-01-04,FCR,1,NEGPOS_12_16,54
2024-01-04,2024-01-04,FCR,1,NEGPOS_08_12,56.17
2024-01-04,2024-01-04,FCR,1,NEGPOS_04_08,107.6
2024-01-04,2024-01-04,FCR,1,NEGPOS_00_04,135.6
2024-01-05,2024-01-05,FCR,1,NEGPOS_04_08,65.2
2024-01-05,2024-01-05,FCR,1,NEGPOS_16_20,54.4
2024-01-05,2024-01-05,FCR,1,NEGPOS_00_04,81.4
2024-01-05,2024-01-05,FCR,1,NEGPOS_12_16,42.8
2024-01-05,2024-01-05,FCR,1,NEGPOS_20_24,40.4
2024-01-05,2024-01-05,FCR,1,NEGPOS_08_12,50.04
2024-01-06,2024-01-06,FCR,1,NEGPOS_20_24,37.6
2024-01-06,2024-01-06,FCR,1,NEGPOS_08_12,38.4
2024-01-06,2024-01-06,FCR,1,NEGPOS_16_20,41.13
2024-01-06,2024-01-06,FCR,1,NEGPOS_00_04,69.62
2024-01-06,2024-01-06,FCR,1,NEGPOS_04_08,56.04
2024-01-06,2024-01-06,FCR,1,NEGPOS_12_16,36.35
2024-01-07,2024-01-07,FCR,1,NEGPOS_20_24,35.6
2024-01-07,2024-01-07,FCR,1,NEGPOS_00_04,54.95
2024-01-07,2024-01-07,FCR,1,NEGPOS_04_08,58
2024-01-07,2024-01-07,FCR,1,NEGPOS_16_20,43.54
2024-01-07,2024-01-07,FCR,1,NEGPOS_08_12,38.86
2024-01-07,2024-01-07,FCR,1,NEGPOS_12_16,34.12
2024-01-08,2024-01-08,FCR,1,NEGPOS_00_04,50.3
2024-01-08,2024-01-08,FCR,1,NEGPOS_04_08,67.2
2024-01-08,2024-01-08,FCR,1,NEGPOS_08_12,40.5
2024-01-08,2024-01-08,FCR,1,NEGPOS_16_20,40
2024-01-08,2024-01-08,FCR,1,NEGPOS_12_16,37.02
2024-01-08,2024-01-08,FCR,1,NEGPOS_20_24,34.38
2024-01-09,2024-01-09,FCR,1,NEGPOS_16_20,52.91
2024-01-09,2024-01-09,FCR,1,NEGPOS_20_24,34
2024-01-09,2024-01-09,FCR,1,NEGPOS_12_16,33.2
2024-01-09,2024-01-09,FCR,1,NEGPOS_04_08,46.19
2024-01-09,2024-01-09,FCR,1,NEGPOS_08_12,36.28
2024-01-09,2024-01-09,FCR,1,NEGPOS_00_04,40.5
2024-01-10,2024-01-10,FCR,1,NEGPOS_00_04,37
2024-01-10,2024-01-10,FCR,1,NEGPOS_08_12,55.52
2024-01-10,2024-01-10,FCR,1,NEGPOS_20_24,29.12
2024-01-10,2024-01-10,FCR,1,NEGPOS_16_20,56.8
2024-01-10,2024-01-10,FCR,1,NEGPOS_04_08,54.64
2024-01-10,2024-01-10,FCR,1,NEGPOS_12_16,38.52
2024-01-11,2024-01-11,FCR,1,NEGPOS_12_16,28
2024-01-11,2024-01-11,FCR,1,NEGPOS_00_04,32.8
2024-01-11,2024-01-11,FCR,1,NEGPOS_04_08,36.79
2024-01-11,2024-01-11,FCR,1,NEGPOS_16_20,55.2
2024-01-11,2024-01-11,FCR,1,NEGPOS_20_24,27.2
2024-01-11,2024-01-11,FCR,1,NEGPOS_08_12,35.14
2024-01-12,2024-01-12,FCR,1,NEGPOS_12_16,25.83
2024-01-12,2024-01-12,FCR,1,NEGPOS_04_08,33.2
2024-01-12,2024-01-12,FCR,1,NEGPOS_00_04,26.79
2024-01-12,2024-01-12,FCR,1,NEGPOS_08_12,39.64
2024-01-12,2024-01-12,FCR,1,NEGPOS_20_24,25.6
2024-01-12,2024-01-12,FCR,1,NEGPOS_16_20,54.29
2024-01-13,2024-01-13,FCR,1,NEGPOS_04_08,44.1
2024-01-13,2024-01-13,FCR,1,NEGPOS_12_16,40.04
2024-01-13,2024-01-13,FCR,1,NEGPOS_00_04,41.8
2024-01-13,2024-01-13,FCR,1,NEGPOS_20_24,34.37
2024-01-13,2024-01-13,FCR,1,NEGPOS_08_12,35.31
2024-01-13,2024-01-13,FCR,1,NEGPOS_16_20,34.3
2024-01-14,2024-01-14,FCR,1,NEGPOS_04_08,31.66
2024-01-14,2024-01-14,FCR,1,NEGPOS_12_16,27.2
2024-01-14,2024-01-14,FCR,1,NEGPOS_16_20,31.66
2024-01-14,2024-01-14,FCR,1,NEGPOS_20_24,30.68
2024-01-14,2024-01-14,FCR,1,NEGPOS_00_04,29.47
2024-01-14,2024-01-14,FCR,1,NEGPOS_08_12,36
2024-01-15,2024-01-15,FCR,1,NEGPOS_08_12,32.03
2024-01-15,2024-01-15,FCR,1,NEGPOS_00_04,36.4
2024-01-15,2024-01-15,FCR,1,NEGPOS_12_16,27.14
2024-01-15,2024-01-15,FCR,1,NEGPOS_20_24,27.16
2024-01-15,2024-01-15,FCR,1,NEGPOS_04_08,33.01
2024-01-15,2024-01-15,FCR,1,NEGPOS_16_20,37.5
2024-01-16,2024-01-16,FCR,1,NEGPOS_16_20,41.43
2024-01-16,2024-01-16,FCR,1,NEGPOS_04_08,34.81
2024-01-16,2024-01-16,FCR,1,NEGPOS_12_16,29.14
2024-01-16,2024-01-16,FCR,1,NEGPOS_08_12,36.65
2024-01-16,2024-01-16,FCR,1,NEGPOS_20_24,24.68
2024-01-16,2024-01-16,FCR,1,NEGPOS_00_04,35.23
2024-01-17,2024-01-17,FCR,1,NEGPOS_04_08,39.87
2024-01-17,2024-01-17,FCR,1,NEGPOS_20_24,23.97
2024-01-17,2024-01-17,FCR,1,NEGPOS_16_20,44.53
2024-01-17,2024-01-17,FCR,1,NEGPOS_12_16,25.92
2024-01-17,2024-01-17,FCR,1,NEGPOS_08_12,34.27
2024-01-17,2024-01-17,FCR,1,NEGPOS_00_04,29.05
2024-01-18,2024-01-18,FCR,1,NEGPOS_12_16,22.7
2024-01-18,2024-01-18,FCR,1,NEGPOS_04_08,30.53
2024-01-18,2024-01-18,FCR,1,NEGPOS_08_12,31.86
2024-01-18,2024-01-18,FCR,1,NEGPOS_16_20,48.2
2024-01-18,2024-01-18,FCR,1,NEGPOS_20_24,24.55
2024-01-18,2024-01-18,FCR,1,NEGPOS_00_04,27.33
2024-01-19,2024-01-19,FCR,1,NEGPOS_00_04,30.08
2024-01-19,2024-01-19,FCR,1,NEGPOS_20_24,24.03
2024-01-19,2024-01-19,FCR,1,NEGPOS_12_16,24.8
2024-01-19,2024-01-19,FCR,1,NEGPOS_08_12,40
2024-01-19,2024-01-19,FCR,1,NEGPOS_04_08,38
