datetime,Direction,Price,ReserveType
2024-01-01 00:00:00+01:00,Up,83.22,aFRR
2024-01-01 00:00:00+01:00,Down,-46.72,aFRR
2024-01-01 00:15:00+01:00,Down,0.0,aFRR
2024-01-01 00:15:00+01:00,Up,76.91,aFRR
2024-01-01 00:30:00+01:00,Up,66.91,aFRR
2024-01-01 00:30:00+01:00,Down,0.0,aFRR
2024-01-01 00:45:00+01:00,Up,66.91,aFRR
2024-01-01 00:45:00+01:00,Down,0.0,aFRR
2024-01-01 01:00:00+01:00,Up,81.13,aFRR
2024-01-01 01:00:00+01:00,Down,0.0,aFRR
2024-01-01 01:15:00+01:00,Down,-17.8,aFRR
2024-01-01 01:15:00+01:00,Up,76.91,aFRR
2024-01-01 01:30:00+01:00,Down,-8.81,aFRR
2024-01-01 01:30:00+01:00,Up,82.79,aFRR
2024-01-01 01:45:00+01:00,Down,-26.1,aFRR
2024-01-01 01:45:00+01:00,Up,73.68,aFRR
2024-01-01 02:00:00+01:00,Down,-31.85,aFRR
2024-01-01 02:00:00+01:00,Up,94.13,aFRR
2024-01-01 02:15:00+01:00,Down,-8.81,aFRR
2024-01-01 02:15:00+01:00,Up,73.66,aFRR
2024-01-01 02:30:00+01:00,Down,-8.81,aFRR
2024-01-01 02:30:00+01:00,Up,0.0,aFRR
2024-01-01 02:45:00+01:00,Down,-28.42,aFRR
2024-01-01 02:45:00+01:00,Up,87.47,aFRR
2024-01-01 03:00:00+01:00,Up,78.11,aFRR
2024-01-01 03:00:00+01:00,Down,0.0,aFRR
2024-01-01 03:15:00+01:00,Up,64.9,aFRR
2024-01-01 03:15:00+01:00,Down,0.0,aFRR
2024-01-01 03:30:00+01:00,Up,0.0,aFRR
2024-01-01 03:30:00+01:00,Down,-17.8,aFRR
2024-01-01 03:45:00+01:00,Down,-45.33,aFRR
2024-01-01 03:45:00+01:00,Up,85.2,aFRR
2024-01-01 04:00:00+01:00,Up,104.51,aFRR
2024-01-01 04:00:00+01:00,Down,-37.54,aFRR
2024-01-01 04:15:00+01:00,Up,0.0,aFRR
2024-01-01 04:15:00+01:00,Down,0.0,aFRR
2024-01-01 04:30:00+01:00,Up,79.05,aFRR
2024-01-01 04:30:00+01:00,Down,-8.81,aFRR
2024-01-01 04:45:00+01:00,Up,79.05,aFRR
2024-01-01 04:45:00+01:00,Down,-8.81,aFRR
2024-01-01 05:00:00+01:00,Up,0.0,aFRR
2024-01-01 05:00:00+01:00,Down,0.0,aFRR
2024-01-01 05:15:00+01:00,Down,-27.32,aFRR
2024-01-01 05:15:00+01:00,Up,0.0,aFRR
2024-01-01 05:30:00+01:00,Up,0.0,aFRR
2024-01-01 05:30:00+01:00,Down,-30.3,aFRR
2024-01-01 05:45:00+01:00,Down,-28.42,aFRR
2024-01-01 05:45:00+01:00,Up,0.0,aFRR
2024-01-01 06:00:00+01:00,Up,70.31,aFRR
2024-01-01 06:00:00+01:00,Down,-73.38,aFRR
2024-01-01 06:15:00+01:00,Up,0.0,aFRR
2024-01-01 06:15:00+01:00,Down,0.0,aFRR
2024-01-01 06:30:00+01:00,Up,77.11,aFRR
2024-01-01 06:30:00+01:00,Down,0.0,aFRR
2024-01-01 06:45:00+01:00,Down,0.0,aFRR
2024-01-01 06:45:00+01:00,Up,73.66,aFRR
2024-01-01 07:00:00+01:00,Down,0.0,aFRR
2024-01-01 07:00:00+01:00,Up,86.13,aFRR
2024-01-01 07:15:00+01:00,Up,62.99,aFRR
2024-01-01 07:15:00+01:00,Down,-77.88,aFRR
2024-01-01 07:30:00+01:00,Down,-29.99,aFRR
2024-01-01 07:30:00+01:00,Up,0.0,aFRR
2024-01-01 07:45:00+01:00,Down,0.0,aFRR
2024-01-01 07:45:00+01:00,Up,64.32,aFRR
2024-01-01 08:00:00+01:00,Up,64.91,aFRR
2024-01-01 08:00:00+01:00,Down,-83.43,aFRR
2024-01-01 08:15:00+01:00,Down,-55.88,aFRR
2024-01-01 08:15:00+01:00,Up,0.0,aFRR
2024-01-01 08:30:00+01:00,Down,-60.7,aFRR
2024-01-01 08:30:00+01:00,Up,0.0,aFRR
2024-01-01 08:45:00+01:00,Down,-166.18,aFRR
2024-01-01 08:45:00+01:00,Up,0.0,aFRR
2024-01-01 09:00:00+01:00,Down,-45.56,aFRR
2024-01-01 09:00:00+01:00,Up,0.0,aFRR
2024-01-01 09:15:00+01:00,Down,0.0,aFRR
2024-01-01 09:15:00+01:00,Up,0.0,aFRR
2024-01-01 09:30:00+01:00,Up,0.0,aFRR
2024-01-01 09:30:00+01:00,Down,-8.81,aFRR
2024-01-01 09:45:00+01:00,Down,-14.87,aFRR
2024-01-01 09:45:00+01:00,Up,0.0,aFRR
2024-01-01 10:00:00+01:00,Down,-8.81,aFRR
2024-01-01 10:00:00+01:00,Up,0.0,aFRR
2024-01-01 10:15:00+01:00,Up,0.0,aFRR
2024-01-01 10:15:00+01:00,Down,-8.81,aFRR
2024-01-01 10:30:00+01:00,Up,0.0,aFRR
2024-01-01 10:30:00+01:00,Down,-17.19,aFRR
2024-01-01 10:45:00+01:00,Up,0.0,aFRR
2024-01-01 10:45:00+01:00,Down,-17.19,aFRR
2024-01-01 11:00:00+01:00,Up,0.0,aFRR
2024-01-01 11:00:00+01:00,Down,-8.81,aFRR
2024-01-01 11:15:00+01:00,Up,0.0,aFRR
2024-01-01 11:15:00+01:00,Down,-9.51,aFRR
2024-01-01 11:30:00+01:00,Down,-28.42,aFRR
2024-01-01 11:30:00+01:00,Up,0.0,aFRR
2024-01-01 11:45:00+01:00,Down,-8.81,aFRR
2024-01-01 11:45:00+01:00,Up,0.0,aFRR
2024-01-01 12:00:00+01:00,Down,-8.81,aFRR
2024-01-01 12:00:00+01:00,Up,0.0,aFRR
2024-01-01 12:15:00+01:00,Down,0.0,aFRR
2024-01-01 12:15:00+01:00,Up,0.0,aFRR
2024-01-01 12:30:00+01:00,Up,0.0,aFRR
2024-01-01 12:30:00+01:00,Down,0.0,aFRR
2024-01-01 12:45:00+01:00,Up,0.0,aFRR
2024-01-01 12:45:00+01:00,Down,0.0,aFRR
2024-01-01 13:00:00+01:00,Up,0.0,aFRR
2024-01-01 13:00:00+01:00,Down,0.0,aFRR
2024-01-01 13:15:00+01:00,Up,0.0,aFRR
2024-01-01 13:15:00+01:00,Down,-20.84,aFRR
2024-01-01 13:30:00+01:00,Up,63.83,aFRR
2024-01-01 13:30:00+01:00,Down,-20.72,aFRR
2024-01-01 13:45:00+01:00,Up,72.79,aFRR
2024-01-01 13:45:00+01:00,Down,0.0,aFRR
2024-01-01 14:00:00+01:00,Down,0.0,aFRR
2024-01-01 14:00:00+01:00,Up,0.0,aFRR
2024-01-01 14:15:00+01:00,Up,0.0,aFRR
2024-01-01 14:15:00+01:00,Down,0.0,aFRR
2024-01-01 14:30:00+01:00,Up,0.0,aFRR
2024-01-01 14:30:00+01:00,Down,0.0,aFRR
2024-01-01 14:45:00+01:00,Up,0.0,aFRR
2024-01-01 14:45:00+01:00,Down,0.0,aFRR
2024-01-01 15:00:00+01:00,Up,0.0,aFRR
2024-01-01 15:00:00+01:00,Down,0.0,aFRR
2024-01-01 15:15:00+01:00,Up,86.13,aFRR
2024-01-01 15:15:00+01:00,Down,0.0,aFRR
2024-01-01 15:30:00+01:00,Up,105.53,aFRR
2024-01-01 15:30:00+01:00,Down,0.0,aFRR
2024-01-01 15:45:00+01:00,Up,121.12,aFRR
2024-01-01 15:45:00+01:00,Down,0.0,aFRR
2024-01-01 16:00:00+01:00,Down,-47.19,aFRR
2024-01-01 16:00:00+01:00,Up,88.13,aFRR
2024-01-01 16:15:00+01:00,Up,81.13,aFRR
2024-01-01 16:15:00+01:00,Down,-15.74,aFRR
2024-01-01 16:30:00+01:00,Up,81.13,aFRR
2024-01-01 16:30:00+01:00,Down,0.0,aFRR
2024-01-01 16:45:00+01:00,Up,86.57,aFRR
2024-01-01 16:45:00+01:00,Down,0.0,aFRR
2024-01-01 17:00:00+01:00,Up,62.84,aFRR
2024-01-01 17:00:00+01:00,Down,0.0,aFRR
2024-01-01 17:15:00+01:00,Up,95.16,aFRR
2024-01-01 17:15:00+01:00,Down,0.0,aFRR
2024-01-01 17:30:00+01:00,Up,181.55,aFRR
2024-01-01 17:30:00+01:00,Down,0.0,aFRR
2024-01-01 17:45:00+01:00,Up,501.35,aFRR
2024-01-01 17:45:00+01:00,Down,-79.57,aFRR
2024-01-01 18:00:00+01:00,Up,97.78,aFRR
2024-01-01 18:00:00+01:00,Down,-142.04,aFRR
2024-01-01 18:15:00+01:00,Down,32.13,aFRR
2024-01-01 18:15:00+01:00,Up,0.0,aFRR
2024-01-01 18:30:00+01:00,Up,0.0,aFRR
2024-01-01 18:30:00+01:00,Down,0.0,aFRR
2024-01-01 18:45:00+01:00,Up,88.13,aFRR
2024-01-01 18:45:00+01:00,Down,-270.12,aFRR
2024-01-01 19:00:00+01:00,Down,-265.63,aFRR
2024-01-01 19:00:00+01:00,Up,79.13,aFRR
2024-01-01 19:15:00+01:00,Up,0.0,aFRR
2024-01-01 19:15:00+01:00,Down,-184.11,aFRR
2024-01-01 19:30:00+01:00,Up,0.0,aFRR
2024-01-01 19:30:00+01:00,Down,-31.83,aFRR
2024-01-01 19:45:00+01:00,Up,88.13,aFRR
2024-01-01 19:45:00+01:00,Down,-24.73,aFRR
2024-01-01 20:00:00+01:00,Up,1832.2,aFRR
2024-01-01 20:00:00+01:00,Down,0.0,aFRR
2024-01-01 20:15:00+01:00,Up,1832.2,aFRR
2024-01-01 20:15:00+01:00,Down,0.0,aFRR
2024-01-01 20:30:00+01:00,Down,0.0,aFRR
2024-01-01 20:30:00+01:00,Up,62.34,aFRR
2024-01-01 20:45:00+01:00,Up,0.0,aFRR
2024-01-01 20:45:00+01:00,Down,-19.94,aFRR
2024-01-01 21:00:00+01:00,Up,0.0,aFRR
2024-01-01 21:00:00+01:00,Down,-19.94,aFRR
2024-01-01 21:15:00+01:00,Up,0.0,aFRR
2024-01-01 21:15:00+01:00,Down,-68.5,aFRR
2024-01-01 21:30:00+01:00,Down,-221.38,aFRR
2024-01-01 21:30:00+01:00,Up,73.06,aFRR
2024-01-01 21:45:00+01:00,Up,77.13,aFRR
2024-01-01 21:45:00+01:00,Down,-252.44,aFRR
2024-01-01 22:00:00+01:00,Up,0.0,aFRR
2024-01-01 22:00:00+01:00,Down,-192.63,aFRR
2024-01-01 22:15:00+01:00,Up,0.0,aFRR
2024-01-01 22:15:00+01:00,Down,-43.56,aFRR
2024-01-01 22:30:00+01:00,Up,0.0,aFRR
2024-01-01 22:30:00+01:00,Down,-53.88,aFRR
2024-01-01 22:45:00+01:00,Down,-45.56,aFRR
2024-01-01 22:45:00+01:00,Up,0.0,aFRR
2024-01-01 23:00:00+01:00,Down,-28.42,aFRR
2024-01-01 23:00:00+01:00,Up,0.0,aFRR
2024-01-01 23:15:00+01:00,Up,0.0,aFRR
2024-01-01 23:15:00+01:00,Down,-68.5,aFRR
2024-01-01 23:30:00+01:00,Down,-66.5,aFRR
2024-01-01 23:30:00+01:00,Up,0.0,aFRR
2024-01-01 23:45:00+01:00,Down,-140.04,aFRR
2024-01-01 23:45:00+01:00,Up,0.0,aFRR
2024-01-02 00:00:00+01:00,Up,0.0,aFRR
2024-01-02 00:00:00+01:00,Down,-274.12,aFRR
2024-01-02 00:15:00+01:00,Up,0.0,aFRR
2024-01-02 00:15:00+01:00,Down,-267.63,aFRR
2024-01-02 00:30:00+01:00,Up,0.0,aFRR
2024-01-02 00:30:00+01:00,Down,-274.12,aFRR
2024-01-02 00:45:00+01:00,Up,0.0,aFRR
2024-01-02 00:45:00+01:00,Down,-274.12,aFRR
2024-01-02 01:00:00+01:00,Up,0.0,aFRR
2024-01-02 01:00:00+01:00,Down,-312.82,aFRR
2024-01-02 01:15:00+01:00,Up,0.0,aFRR
2024-01-02 01:15:00+01:00,Down,-267.63,aFRR
2024-01-02 01:30:00+01:00,Up,0.0,aFRR
2024-01-02 01:30:00+01:00,Down,-270.4,aFRR
2024-01-02 01:45:00+01:00,Up,0.0,aFRR
2024-01-02 01:45:00+01:00,Down,-274.12,aFRR
2024-01-02 02:00:00+01:00,Down,-220.34,aFRR
2024-01-02 02:00:00+01:00,Up,0.0,aFRR
2024-01-02 02:15:00+01:00,Down,-169.71,aFRR
2024-01-02 02:15:00+01:00,Up,0.0,aFRR
2024-01-02 02:30:00+01:00,Up,0.0,aFRR
2024-01-02 02:30:00+01:00,Down,-218.34,aFRR
2024-01-02 02:45:00+01:00,Down,-217.88,aFRR
2024-01-02 02:45:00+01:00,Up,0.0,aFRR
2024-01-02 03:00:00+01:00,Down,-56.51,aFRR
2024-01-02 03:00:00+01:00,Up,0.0,aFRR
2024-01-02 03:15:00+01:00,Down,-86.75,aFRR
2024-01-02 03:15:00+01:00,Up,0.0,aFRR
2024-01-02 03:30:00+01:00,Up,0.0,aFRR
2024-01-02 03:30:00+01:00,Down,-122.06,aFRR
2024-01-02 03:45:00+01:00,Down,-167.16,aFRR
2024-01-02 03:45:00+01:00,Up,0.0,aFRR
2024-01-02 04:00:00+01:00,Up,0.0,aFRR
2024-01-02 04:00:00+01:00,Down,-56.08,aFRR
2024-01-02 04:15:00+01:00,Up,0.0,aFRR
2024-01-02 04:15:00+01:00,Down,-41.15,aFRR
2024-01-02 04:30:00+01:00,Down,-41.15,aFRR
2024-01-02 04:30:00+01:00,Up,0.0,aFRR
2024-01-02 04:45:00+01:00,Up,0.0,aFRR
2024-01-02 04:45:00+01:00,Down,-32.82,aFRR
2024-01-02 05:00:00+01:00,Up,0.0,aFRR
2024-01-02 05:00:00+01:00,Down,-40.0,aFRR
2024-01-02 05:15:00+01:00,Up,0.0,aFRR
2024-01-02 05:15:00+01:00,Down,-19.32,aFRR
2024-01-02 05:30:00+01:00,Down,65.13,aFRR
2024-01-02 05:30:00+01:00,Up,0.0,aFRR
2024-01-02 05:45:00+01:00,Down,-173.15,aFRR
2024-01-02 05:45:00+01:00,Up,0.0,aFRR
2024-01-02 06:00:00+01:00,Up,0.0,aFRR
2024-01-02 06:00:00+01:00,Down,-274.12,aFRR
2024-01-02 06:15:00+01:00,Down,-200.69,aFRR
2024-01-02 06:15:00+01:00,Up,0.0,aFRR
2024-01-02 06:30:00+01:00,Up,0.0,aFRR
2024-01-02 06:30:00+01:00,Down,-224.38,aFRR
2024-01-02 06:45:00+01:00,Up,0.0,aFRR
2024-01-02 06:45:00+01:00,Down,-231.87,aFRR
2024-01-02 07:00:00+01:00,Up,0.0,aFRR
2024-01-02 07:00:00+01:00,Down,-267.63,aFRR
2024-01-02 07:15:00+01:00,Down,-111.44,aFRR
2024-01-02 07:15:00+01:00,Up,0.0,aFRR
2024-01-02 07:30:00+01:00,Up,0.0,aFRR
2024-01-02 07:30:00+01:00,Down,-111.44,aFRR
2024-01-02 07:45:00+01:00,Up,0.0,aFRR
